scenario_yield_pct,shock_bps,implied_price,unrealised_pnl,total_pnl,yield_vs_purchase_pct,is_current,is_lstm_q50,is_ou_expected,date,lstm_q10,lstm_q50,lstm_q74,ou_expected_yield,prob_rate_rise
2.0149,-200,98.001184,1.561609,1.561609,-1.6104,0,0,0,2026-04-16,2.4918,3.054,3.3401,3.8722,0.914
2.5149,-150,97.5114,1.071825,1.071825,-1.1104,0,0,0,2026-04-16,2.4918,3.054,3.3401,3.8722,0.914
3.0149,-100,97.024064,0.584489,0.584489,-0.6104,0,1,0,2026-04-16,2.4918,3.054,3.3401,3.8722,0.914
3.2649,-75,96.78131,0.341735,0.341735,-0.3604,0,0,0,2026-04-16,2.4918,3.054,3.3401,3.8722,0.914
3.5149,-50,96.539163,0.099588,0.099588,-0.1104,0,0,0,2026-04-16,2.4918,3.054,3.3401,3.8722,0.914
3.7649,-25,96.297622,-0.141953,-0.141953,0.1396,0,0,0,2026-04-16,2.4918,3.054,3.3401,3.8722,0.914
4.0149,0,96.056686,-0.382889,-0.382889,0.3896,1,0,0,2026-04-16,2.4918,3.054,3.3401,3.8722,0.914
4.2649,25,95.816352,-0.623223,-0.623223,0.6396,0,0,0,2026-04-16,2.4918,3.054,3.3401,3.8722,0.914
4.5149,50,95.57662,-0.862955,-0.862955,0.8896,0,0,0,2026-04-16,2.4918,3.054,3.3401,3.8722,0.914
4.7649,75,95.337487,-1.102088,-1.102088,1.1396,0,0,0,2026-04-16,2.4918,3.054,3.3401,3.8722,0.914
5.0149,100,95.098953,-1.340622,-1.340622,1.3896,0,0,0,2026-04-16,2.4918,3.054,3.3401,3.8722,0.914
5.5149,150,94.623674,-1.815901,-1.815901,1.8896,0,0,0,2026-04-16,2.4918,3.054,3.3401,3.8722,0.914
6.0149,200,94.15077,-2.288805,-2.288805,2.3896,0,0,0,2026-04-16,2.4918,3.054,3.3401,3.8722,0.914
